placeId,address,sub_channel,phone,latitude,longitude,googleUrl,outlet_name
Jw5e5c8L9DDkRR5ID8niIvIs," Rajiv Chowk, B Block, Connaught Place, New Delhi, Delhi 110001",Pharmacy, 1800 889 8000,28.63417,77.2192,https://www.google.com/maps/place/H%26M/data=!4m7!3m6!1s0x390cfdc273b997c3:0x8bbc8878f2039247!8m2!3d28.63417!4d77.2192!16s%2Fg%2F11c1s3229r!19sChIJw5e5c8L9DDkRR5ID8niIvIs?authuser=0&hl=en&rclk=1,H&M
Jq6qqPzb9DDkRqspUorgpw3o," SHOP NO 172 , ENTRY FROM GATE NO 6, Palika Bazar, Connaught Place, New Delhi, Delhi 110001",Perfume store, 011 2332 1031,28.6307131,77.2193827,https://www.google.com/maps/place/Jain+Super+Store/data=!4m7!3m6!1s0x390cfd363faaaaab:0x7ac329b8a254caaa!8m2!3d28.6307131!4d77.2193827!16s%2Fg%2F1tdmnfns!19sChIJq6qqPzb9DDkRqspUorgpw3o?authuser=0&hl=en&rclk=1,Jain Super Store
JZxOonzf9DDkRJ0-B-vFQ3m4," number 4, E Block, E-5, Rajiv Chowk, opposite Metro Gate, Connaught Place, New Delhi, Delhi 110001",Home goods store, 011 4019 7665,28.6330279,77.2213922,https://www.google.com/maps/place/MINISO+CP/data=!4m7!3m6!1s0x390cfd379fa81367:0x6ede50f1fa814f27!8m2!3d28.6330279!4d77.2213922!16s%2Fg%2F11hcy_61d2!19sChIJZxOonzf9DDkRJ0-B-vFQ3m4?authuser=0&hl=en&rclk=1,MINISO CP
Jd-3rnjD9DDkRCk-jwCG6sn8," Hamilton House, CONNAUGHT PLACE, A-1, next to Starbucks Coffee, Block A, Connaught Place, New Delhi, Delhi 110001",Pharmacy, 011 4304 8296,28.6322495,77.2178216,"https://www.google.com/maps/place/Fabindia,+Connaught+Place+%28A+Block%29/data=!4m7!3m6!1s0x390cfd309eebed77:0x7fb2ba21c0a34f0a!8m2!3d28.6322495!4d77.2178216!16s%2Fg%2F1wf36z_s!19sChIJd-3rnjD9DDkRCk-jwCG6sn8?authuser=0&hl=en&rclk=1","Fabindia, Connaught Place (A Block)"
JO1Zdzkn9DDkRSUeULbmtONo," No M55, Ground Floor, Opposite Haldiram, Connaught Place, New Delhi, Delhi 110001",Cosmetics store, 095134 43856,28.6337683,77.2224373,https://www.google.com/maps/place/The+Body+Shop/data=!4m7!3m6!1s0x390cfd49ce5d563b:0xda38adb92d944749!8m2!3d28.6337683!4d77.2224373!16s%2Fg%2F11bwfm6vn_!19sChIJO1Zdzkn9DDkRSUeULbmtONo?authuser=0&hl=en&rclk=1,The Body Shop
Jbw25cTf9DDkRt54TjVfjwyk," Ground Floor, Odeon Cine Complex, Middle Cir, D Block, Connaught Place, New Delhi, Delhi 110001 Located in: Odeon",Electronics store, 084474 13473,28.634153,77.2213305,https://www.google.com/maps/place/Croma+-+Odeon+CP/data=!4m7!3m6!1s0x390cfd3771b90d6f:0x29c3e3578d139eb7!8m2!3d28.634153!4d77.2213305!16s%2Fg%2F12hlzsxzl!19sChIJbw25cTf9DDkRt54TjVfjwyk?authuser=0&hl=en&rclk=1,Croma - Odeon CP
J7RrOnBv9DDkRY2urtGlPLUg," Building No. 1, 1-A, Radial Rd Number 2, Block A, Connaught Place, New Delhi, Delhi 110001",Pharmacy, 011 4401 6000,28.6323437,77.2177076,"https://www.google.com/maps/place/UNIQLO+Connaught+Place,+Delhi/data=!4m7!3m6!1s0x390cfd1b9cce1aed:0x482d4f69b4ab6b63!8m2!3d28.6323437!4d77.2177076!16s%2Fg%2F11jszpq1_n!19sChIJ7RrOnBv9DDkRY2urtGlPLUg?authuser=0&hl=en&rclk=1","UNIQLO Connaught Place, Delhi"
J3w2BVEj9DDkRfWNOZEiDkdw," Block G, Connaught Place, New Delhi, Delhi 110001",PharmacyOpen ⋅ Closes 11 pm, 080 4101 8123,28.6339233,77.217019,https://www.google.com/maps/place/Apollo+Pharmacy+-+Connaught+Place/data=!4m7!3m6!1s0x390cfd4854810ddf:0xdc918348644e637d!8m2!3d28.6339233!4d77.217019!16s%2Fg%2F124yb7n0b!19sChIJ3w2BVEj9DDkRfWNOZEiDkdw?authuser=0&hl=en&rclk=1,Apollo Pharmacy - Connaught Place
J1TYCHTj9DDkRguyXSs-TBkY," GF Plaza cinema bldg, Block H, Connaught Place, New Delhi, Delhi 110001 Floor 0 · PVR Plaza-CP,Delhi",Pharmacy, 096500 03401,28.6350721,77.2195027,https://www.google.com/maps/place/Marks+and+Spencer/data=!4m7!3m6!1s0x390cfd381d0236d5:0x460693cf4a97ec82!8m2!3d28.6350721!4d77.2195027!16s%2Fg%2F12hkcbt6f!19sChIJ1TYCHTj9DDkRguyXSs-TBkY?authuser=0&hl=en&rclk=1,Marks and Spencer
JcRt8HEj9DDkRLqZLs82Xhew," Shop No. 2G Ground Floor Marine Arcade Rajiv chowk metro station Gate no 1, Block G, Connaught Place, New Delhi, Delhi 110001",Pharmacy, 098994 41605,28.6338409,77.2174297,https://www.google.com/maps/place/Nath+Brothers/data=!4m7!3m6!1s0x390cfd481c7c1b71:0xec8597cdb34ba62e!8m2!3d28.6338409!4d77.2174297!16s%2Fg%2F1tdb76dp!19sChIJcRt8HEj9DDkRLqZLs82Xhew?authuser=0&hl=en&rclk=1,Nath Brothers
JU0LT6Un9DDkRwyP0LYELdZA," 10, Regal Building, Sansad Marg, beside Barista, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001",Pharmacy, 011 2334 0971,28.6301162,77.2174334,https://www.google.com/maps/place/The+Shop/data=!4m7!3m6!1s0x390cfd49e9d34253:0x90750b812df423c3!8m2!3d28.6301162!4d77.2174334!16s%2Fg%2F12hkl6jmt!19sChIJU0LT6Un9DDkRwyP0LYELdZA?authuser=0&hl=en&rclk=1,The Shop
JDdV2GTf9DDkRUCWl79BG3bg," Shop E, 10, Rajiv Chowk, Block E, Connaught Place, New Delhi, Delhi 110001 Located in: Rajiv Chowk",Pharmacy, 011 4081 0501,28.633792,77.22097,https://www.google.com/maps/place/W+for+Woman+CP+E+-+Block/data=!4m7!3m6!1s0x390cfd371976d50d:0xb8dd46d0efa52550!8m2!3d28.633792!4d77.22097!16s%2Fg%2F11c5rt_54l!19sChIJDdV2GTf9DDkRUCWl79BG3bg?authuser=0&hl=en&rclk=1,W for Woman CP E - Block
JL3p9fjb9DDkR6nXlf7fa4Dg," F-19, Connaught Cir, Block F, Connaught Place, New Delhi, Delhi 110001",Pharmacy, 070115 30151,28.6313115,77.2200454,https://www.google.com/maps/place/Ivory+Palace+Store+In+Cp+%7C+Colorplus+%7C+U+S+POLO+ASSN+%7C+Madame+%7C+Park+Avenue/data=!4m7!3m6!1s0x390cfd367e7d7a2f:0x38e0dab77fe575ea!8m2!3d28.6313115!4d77.2200454!16s%2Fg%2F1wj_rndp!19sChIJL3p9fjb9DDkR6nXlf7fa4Dg?authuser=0&hl=en&rclk=1,Ivory Palace Store In Cp | Colorplus | U S POLO ASSN | Madame | Park Avenue
