placeId,address,sub_channel,phone,latitude,longitude,googleUrl,outlet_name,loginId,similarity_score,skus
JRSegF5X_DDkR3O8GFCLsQYY," D-5,Hardev Nagar ,Burari, Jharoda Burari Marg, Bhagwan Park, Laldora, Jharoda, Jharoda Majra Burari, Delhi, 110084",Supermarket, 070532 67267,28.7289768,77.2037799,https://www.google.com/maps/place/The+Family+Mart/data=!4m7!3m6!1s0x390cff9517a02745:0x8641ec221406efdc!8m2!3d28.7289768!4d77.2037799!16s%2Fg%2F11kdn12dzw!19sChIJRSegF5X_DDkR3O8GFCLsQYY?authuser=0&hl=en&rclk=1,The Family Mart,DSR-GT-NCR-457,0.88,"[{""skuCode"":""10121465"",""qty"":420,""wgt"":12.05},{""skuCode"":""10151652"",""qty"":6,""wgt"":4.43},{""skuCode"":""10287629"",""qty"":24,""wgt"":3.99}]"
J9zdgtE3_DDkRtYzCXCaomA8," Labour Chowk 876 Labour Chowk, Burari, Delhi, 110084",Supermarket, 070111 37350,28.7446963,77.1983011,https://www.google.com/maps/place/JR+MART/data=!4m7!3m6!1s0x390cff4db46037f7:0xf98a8265cc28cb5!8m2!3d28.7446963!4d77.1983011!16s%2Fg%2F11s8wd1lcd!19sChIJ9zdgtE3_DDkRtYzCXCaomA8?authuser=0&hl=en&rclk=1,JR MART,DSR-GT-NCR-457,0.88,"[{""skuCode"":""10121465"",""qty"":420,""wgt"":12.05},{""skuCode"":""10151652"",""qty"":6,""wgt"":4.43},{""skuCode"":""10287629"",""qty"":24,""wgt"":3.99}]"
J9Z6Z6y7-DDkRo76yEuRW9bU," Prem Nagar, Baba Colony, Burari, Delhi, 110084",Supermarket, 078381 47142,28.75236,77.2014324,https://www.google.com/maps/place/Uday+Traders/data=!4m7!3m6!1s0x390cfe2eeb999ef5:0xb5f556e412b2bea3!8m2!3d28.75236!4d77.2014324!16s%2Fg%2F11fx91lbgh!19sChIJ9Z6Z6y7-DDkRo76yEuRW9bU?authuser=0&hl=en&rclk=1,Uday Traders,DSR-GT-NCR-457,0.88,"[{""skuCode"":""10121465"",""qty"":420,""wgt"":12.05},{""skuCode"":""10151652"",""qty"":6,""wgt"":4.43},{""skuCode"":""10287629"",""qty"":24,""wgt"":3.99}]"
JL3WbaYICDTkR9JNvpxs1WwU," 56, 4419, Block 29, Block 1, Regar Pura, Karol Bagh, New Delhi, Delhi, 110005",Grocery store, 099109 21092,28.6504647,77.1873937,https://www.google.com/maps/place/Madan+Lal+%26+Sons/data=!4m7!3m6!1s0x390d0282699b752f:0x55b351ba76f93f4!8m2!3d28.6504647!4d77.1873937!16s%2Fg%2F1thgfdl8!19sChIJL3WbaYICDTkR9JNvpxs1WwU?authuser=0&hl=en&rclk=1,Madan Lal & Sons,DSR-GT-NCR-629,0.8,"[{""skuCode"":""BB88K"",""qty"":572,""wgt"":49.87},{""skuCode"":""10151652"",""qty"":1,""wgt"":43.52},{""skuCode"":""10151652"",""qty"":1,""wgt"":42.02}]"
J54JjfYMCDTkRk5G0CP0SRLg," 51/2, New Rohtak Rd, Near Liberty Cinema, Block 51, P&T Quarters, Karol Bagh, New Delhi, Delhi, 110005",Grocery store, 088003 04378,28.6575247,77.1889585,https://www.google.com/maps/place/Raj+Di+Chakki/data=!4m7!3m6!1s0x390d02837d6382e7:0xb84412fd08b49193!8m2!3d28.6575247!4d77.1889585!16s%2Fg%2F11f4qd7trv!19sChIJ54JjfYMCDTkRk5G0CP0SRLg?authuser=0&hl=en&rclk=1,Raj Di Chakki,DSR-GT-NCR-629,0.8,"[{""skuCode"":""BB88K"",""qty"":572,""wgt"":49.87},{""skuCode"":""10151652"",""qty"":1,""wgt"":43.52},{""skuCode"":""10151652"",""qty"":1,""wgt"":42.02}]"
JL3WbaYICDTkR9JNvpxs1WwU," 56, 4419, Block 29, Block 1, Regar Pura, Karol Bagh, New Delhi, Delhi, 110005",Grocery store, 099109 21092,28.6504647,77.1873937,https://www.google.com/maps/place/Madan+Lal+%26+Sons/data=!4m7!3m6!1s0x390d0282699b752f:0x55b351ba76f93f4!8m2!3d28.6504647!4d77.1873937!16s%2Fg%2F1thgfdl8!19sChIJL3WbaYICDTkR9JNvpxs1WwU?authuser=0&hl=en&rclk=1,Madan Lal & Sons,DSR-GT-NCR-629,0.8,"[{""skuCode"":""BB88K"",""qty"":572,""wgt"":49.87},{""skuCode"":""10151652"",""qty"":1,""wgt"":43.52},{""skuCode"":""10151652"",""qty"":1,""wgt"":42.02}]"
J7UI0fE__DDkRsokTeFuIpnc," 15, Sant Nagar Marg, Block B, Sant Nagar, Burari, Delhi, 110084",Grocery store, 093112 39211,28.7437209,77.198262,https://www.google.com/maps/place/Rajmandir+Hypermarket+Burari/data=!4m7!3m6!1s0x390cff4f7c3442ed:0x77a6885b781389b2!8m2!3d28.7437209!4d77.198262!16s%2Fg%2F11mpgp4k16!19sChIJ7UI0fE__DDkRsokTeFuIpnc?authuser=0&hl=en&rclk=1,Rajmandir Hypermarket Burari,DSR-GT-NCR-857,0.8,"[{""skuCode"":""10227294"",""qty"":10,""wgt"":100},{""skuCode"":""BB88S"",""qty"":8,""wgt"":100},{""skuCode"":""10227294"",""qty"":15,""wgt"":100}]"
JJe8DOX__DDkRVMHwe3GCpiA," Batra Gali, A-1 Block Extension, Block B, Sant Nagar, Burari, Delhi, 110084",Grocery store, 098182 08783,28.7413161,77.1994227,https://www.google.com/maps/place/JAIN+STORE/data=!4m7!3m6!1s0x390cff7f3903ef25:0x20a682717bf0c154!8m2!3d28.7413161!4d77.1994227!16s%2Fg%2F11gmcdkb4j!19sChIJJe8DOX__DDkRVMHwe3GCpiA?authuser=0&hl=en&rclk=1,JAIN STORE,DSR-GT-NCR-857,0.8,"[{""skuCode"":""10227294"",""qty"":10,""wgt"":100},{""skuCode"":""BB88S"",""qty"":8,""wgt"":100},{""skuCode"":""10227294"",""qty"":15,""wgt"":100}]"
JhQF8Ih3_DDkR6XVcgGaYekc," 1 Block, Kh No.19/4/1A, 100 Feet Rd, near Police Station, Sant Nagar Extension, Sant Nagar, Burari, Delhi, 110084",Grocery store, 087997 22514,28.7359809,77.1975374,https://www.google.com/maps/place/Mega+Store/data=!4m7!3m6!1s0x390cff1d227c0185:0x477a9866805c75e9!8m2!3d28.7359809!4d77.1975374!16s%2Fg%2F11gxgzcnhh!19sChIJhQF8Ih3_DDkR6XVcgGaYekc?authuser=0&hl=en&rclk=1,Mega Store,DSR-GT-NCR-857,0.8,"[{""skuCode"":""10227294"",""qty"":10,""wgt"":100},{""skuCode"":""BB88S"",""qty"":8,""wgt"":100},{""skuCode"":""10227294"",""qty"":15,""wgt"":100}]"
JlTia5CcDDTkR68Fw0K72vfY," basement of Hotel, Southern Building, 18/2, Arya Samaj Rd, Block 18, WEA, Karol Bagh, New Delhi, Delhi, 110005",Grocery store, 083685 01419,28.6463617,77.1953729,https://www.google.com/maps/place/Southern+Super+Market/data=!4m7!3m6!1s0x390d0327e49a3895:0xf6bdf6aed070c1eb!8m2!3d28.6463617!4d77.1953729!16s%2Fg%2F11f3wcy8b8!19sChIJlTia5CcDDTkR68Fw0K72vfY?authuser=0&hl=en&rclk=1,Southern Super Market,DSR-NCR-031,0.8,"[{""skuCode"":""10121465"",""qty"":7,""wgt"":68.34},{""skuCode"":""10121465"",""qty"":7,""wgt"":62.75},{""skuCode"":""10121465"",""qty"":12,""wgt"":60.57}]"
