placeId,address,sub_channel,phone,latitude,longitude,googleUrl,outlet_name,loginId,similarity_score
J7UI0fE__DDkRsokTeFuIpnc," 15, Sant Nagar Marg, Block B, Sant Nagar, Burari, Delhi, 110084",Grocery store, 093112 39211,28.7437209,77.198262,https://www.google.com/maps/place/Rajmandir+Hypermarket+Burari/data=!4m7!3m6!1s0x390cff4f7c3442ed:0x77a6885b781389b2!8m2!3d28.7437209!4d77.198262!16s%2Fg%2F11mpgp4k16!19sChIJ7UI0fE__DDkRsokTeFuIpnc?authuser=0&hl=en&rclk=1,Rajmandir Hypermarket Burari,DSR-GT-NCR-457,0.75
JJe8DOX__DDkRVMHwe3GCpiA," Batra Gali, A-1 Block Extension, Block B, Sant Nagar, Burari, Delhi, 110084",Grocery store, 098182 08783,28.7413161,77.1994227,https://www.google.com/maps/place/JAIN+STORE/data=!4m7!3m6!1s0x390cff7f3903ef25:0x20a682717bf0c154!8m2!3d28.7413161!4d77.1994227!16s%2Fg%2F11gmcdkb4j!19sChIJJe8DOX__DDkRVMHwe3GCpiA?authuser=0&hl=en&rclk=1,JAIN STORE,DSR-GT-NCR-457,0.75
JhQF8Ih3_DDkR6XVcgGaYekc," 1 Block, Kh No.19/4/1A, 100 Feet Rd, near Police Station, Sant Nagar Extension, Sant Nagar, Burari, Delhi, 110084",Grocery store, 087997 22514,28.7359809,77.1975374,https://www.google.com/maps/place/Mega+Store/data=!4m7!3m6!1s0x390cff1d227c0185:0x477a9866805c75e9!8m2!3d28.7359809!4d77.1975374!16s%2Fg%2F11gxgzcnhh!19sChIJhQF8Ih3_DDkR6XVcgGaYekc?authuser=0&hl=en&rclk=1,Mega Store,DSR-GT-NCR-457,0.75
Jx0Nj6Cb-DDkRVyZAtoy26_E," OPP BHAGAT COLONY GATE, MAIN, 100 Feet Rd, Sant Nagar, Burari, New Delhi, Delhi, 110084",Hypermarket, 072178 87901,28.7439774,77.197884,https://www.google.com/maps/place/Vishal+Mega+Mart/data=!4m7!3m6!1s0x390cfe26e86343c7:0xf1ebb68cb6402657!8m2!3d28.7439774!4d77.197884!16s%2Fg%2F11cm06lsb3!19sChIJx0Nj6Cb-DDkRVyZAtoy26_E?authuser=0&hl=en&rclk=1,Vishal Mega Mart,DSR-GT-NCR-857,0.85
Jx0Nj6Cb-DDkRVyZAtoy26_E," OPP BHAGAT COLONY GATE, MAIN, 100 Feet Rd, Sant Nagar, Burari, New Delhi, Delhi, 110084",Hypermarket, 072178 87901,28.7439774,77.197884,https://www.google.com/maps/place/Vishal+Mega+Mart/data=!4m7!3m6!1s0x390cfe26e86343c7:0xf1ebb68cb6402657!8m2!3d28.7439774!4d77.197884!16s%2Fg%2F11cm06lsb3!19sChIJx0Nj6Cb-DDkRVyZAtoy26_E?authuser=0&hl=en&rclk=1,Vishal Mega Mart,DSR-GT-NCR-857,0.85
JDfvu8yX-DDkRve4fl1VU1Gs," Main Market, 25 Feet Rd, near Khushal chowk, opposite to street 113, Parvatiya Anchal, Satya Vihar, Sant Nagar, Burari, Delhi, 110084",General store, 099104 48961,28.7475151,77.2015196,https://www.google.com/maps/place/Arora+Store/data=!4m7!3m6!1s0x390cfe25f3eefb0d:0x6bd45455971feebd!8m2!3d28.7475151!4d77.2015196!16s%2Fg%2F1hc6tgv44!19sChIJDfvu8yX-DDkRve4fl1VU1Gs?authuser=0&hl=en&rclk=1,Arora Store,DSR-GT-NCR-857,0.85
J5WA7xwMEDTkRbK1hKYNOV9Y," 76, Kanjhawala Rd, Pocket B, Sector 1, Rohini, Delhi, 110085",Hypermarket, 0124 455 5100,28.699351,77.0953225,https://www.google.com/maps/place/Vishal+Mega+Mart/data=!4m7!3m6!1s0x390d0403c73b60e5:0xd6574e832961ad6c!8m2!3d28.699351!4d77.0953225!16s%2Fg%2F11gb3y_hwt!19sChIJ5WA7xwMEDTkRbK1hKYNOV9Y?authuser=0&hl=en&rclk=1,Vishal Mega Mart,DSR-NCR-037,0.7
J5WA7xwMEDTkRbK1hKYNOV9Y," 76, Kanjhawala Rd, Pocket B, Sector 1, Rohini, Delhi, 110085",Hypermarket, 0124 455 5100,28.699351,77.0953225,https://www.google.com/maps/place/Vishal+Mega+Mart/data=!4m7!3m6!1s0x390d0403c73b60e5:0xd6574e832961ad6c!8m2!3d28.699351!4d77.0953225!16s%2Fg%2F11gb3y_hwt!19sChIJ5WA7xwMEDTkRbK1hKYNOV9Y?authuser=0&hl=en&rclk=1,Vishal Mega Mart,DSR-NCR-037,0.7
J5WA7xwMEDTkRbK1hKYNOV9Y," 76, Kanjhawala Rd, Pocket B, Sector 1, Rohini, Delhi, 110085",Hypermarket, 0124 455 5100,28.699351,77.0953225,https://www.google.com/maps/place/Vishal+Mega+Mart/data=!4m7!3m6!1s0x390d0403c73b60e5:0xd6574e832961ad6c!8m2!3d28.699351!4d77.0953225!16s%2Fg%2F11gb3y_hwt!19sChIJ5WA7xwMEDTkRbK1hKYNOV9Y?authuser=0&hl=en&rclk=1,Vishal Mega Mart,DSR-NCR-037,0.7
JUSIXWOsBDTkRV0Z9Dt3LYOo," C-11/33, Som Bazar Rd, Pocket 11, Sector 5, Rohini, New Delhi, Delhi, 110085",General store, 098734 21702,28.7144419,77.1055652,https://www.google.com/maps/place/Khushi+Dairy/data=!4m7!3m6!1s0x390d01eb58172251:0xea60cbdd0e7d4657!8m2!3d28.7144419!4d77.1055652!16s%2Fg%2F11j3tm3w6s!19sChIJUSIXWOsBDTkRV0Z9Dt3LYOo?authuser=0&hl=en&rclk=1,Khushi Dairy,DSR-NCR-160,0.85
JVVVAdcUDDTkR--0pRFUXFow," City Centre, opp. Rajiv Gandhi Cancer Institute, Swarn Jayanti Park, Sector 10, Rohini West, New Delhi, Delhi, 110085 Floor -1 · City Centre Rohini",Hypermarket, 070650 79272,28.7169866,77.1142531,"https://www.google.com/maps/place/More+Hypermart,+City+Centre+Mall+Rohini/data=!4m7!3m6!1s0x390d03c575405555:0x8c1617554429edfb!8m2!3d28.7169866!4d77.1142531!16s%2Fg%2F1td_91j3!19sChIJVVVAdcUDDTkR--0pRFUXFow?authuser=0&hl=en&rclk=1","More Hypermart, City Centre Mall Rohini",DSR-NCR-160,0.85
JUSIXWOsBDTkRV0Z9Dt3LYOo," C-11/33, Som Bazar Rd, Pocket 11, Sector 5, Rohini, New Delhi, Delhi, 110085",General store, 098734 21702,28.7144419,77.1055652,https://www.google.com/maps/place/Khushi+Dairy/data=!4m7!3m6!1s0x390d01eb58172251:0xea60cbdd0e7d4657!8m2!3d28.7144419!4d77.1055652!16s%2Fg%2F11j3tm3w6s!19sChIJUSIXWOsBDTkRV0Z9Dt3LYOo?authuser=0&hl=en&rclk=1,Khushi Dairy,DSR-NCR-160,0.85
JS62Nc5z9DDkRy7qkpJAIwZk," 1611, Ground Floor, Outram Lines, GTB Nagar, Delhi, 110009",Indian grocery store, 078381 09489,28.7011025,77.2087729,"https://www.google.com/maps/place/JIAA+Stores-+Quality+Dry+Fruits,+Grocery+%26+Pansari+Items/data=!4m7!3m6!1s0x390cfd9c738dad4b:0x99c10890a4a4bacb!8m2!3d28.7011025!4d77.2087729!16s%2Fg%2F11t2fv_0dl!19sChIJS62Nc5z9DDkRy7qkpJAIwZk?authuser=0&hl=en&rclk=1","JIAA Stores- Quality Dry Fruits, Grocery & Pansari Items",DSR-SPT-NCR-400,0.6
