outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address
PARDHAN PET SHOP-Silver,PS012101,Metro > ASE-SPT-NCR-East > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.68210218,77.2989655,"4649-1(A) , NEW MODERN SAHADRA , MANDOLI ROAD , OPP- BHAGAT JI SWEETS--32"
Mohan Store,DS001290,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Super Grocery,[object Object],28.49883,77.2941126,C-221 Sharma Mkt T-Point Pul Prahlad Pur
Galaxy pharmacy,PH098089,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4985184,77.1895353,"Shop no-3,kh.no-254, chhattarpur"
Kapoor drp Store,TG023020,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Traditional Grocery,[object Object],28.6361966,77.089512,C-37gnesh Nagar
AURA DEPARTMENTAL STORE,DS001288,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.5002101,77.2901373,A-4 PUL PRAHLADPUR SURAJ KUND ROAD New Delhi 110044
RAJESH MEDICOS,PH111115,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6527737,77.095545,WZ-88/5A
Maruti medicos,PH120460,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7291184,77.2046729,D-29 main road jharoda burari
ANMOL PHARMACY,PH090616,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6495252,77.088104,WZ-31 A PLOT NO -131 STREET NO 27
Maxx Departmental Store,TG022648,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Traditional Grocery,[object Object],28.6486196,77.1161227,C-724 Sudershan Park
Max Care Chemist(ROA),PH021294,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6448455,77.2409327,"4933, Dayanand Road , Ansari Roaddaryaganj Near Golcha Cinema110002"
Gauri medicos,PH079030,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6168638,77.0767725,"B-78, GF, 40 Feet road, chanakya"
Shri shyam Medicos,PH102393,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5828116,77.0886025,Old Mehroli Road Palam colony
Al Shifa Medicos,WP002798,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.6922842,77.2830603,"Gali No.1, Main Road Kabur Nagar"
Chirag Medicos,PH114221,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5828083,77.0886017,Rzh-66 Raj Nagar Paat 2 palam
Subham Kiryana Store(Roshanpura Nagafgarh),DS009053,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.6061597,76.9864239,RZ-49 B BLOCK OLD ROSHAN PURA MAIN GURGAON RONAJAFGARH NEW DELHI
Shree Radhey Krishna Medicare,PH111091,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7404202,77.1960703,A2 Block 41Futa road West sant
