outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
Onkar medicos,PH104249,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6441249,77.1028181,Wz-197/4B Mukherjee park,DSR-GT-DEL-783
MANTAN RETAIL PVT. LTD.,DS017214,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.5006228,77.1667481,"KH. No.-251, 252 And 255,MG Raod, Village Sultanpur, New Delhi-110030",DSR-GT-NCR-503
BABLI - 2 MEDICAL STORE,PH129482,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.672112,77.0676748,Main Nangloi Road,DSR-GT-NCR-652
Cost To Cost Pharmacy,PH054365,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6319945,77.1475003,"WZ-257-7, Inderpuri Main Market, New Delhi-110012",DSR-GT-NCR-424
Max Bazar (Burari),DS011728,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Hypermarket,[object Object],28.7507839,77.1987365,"830/2/2 Kh No:830//1/2/2 , Lal Dara Village Burari, 100 Foota Road,New Delhi",DSR-GT-NCR-457
VERMA PET FOOD-Silver,PS010550,Metro > ASE-SPT-NCR-East > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.66918914,77.28726428,"A-1094 ,G.D. colony , MAYUR VIHAR PHASE-3",DSR-SPT-NCR-530
Krishna medicos,PH108645,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6958307,77.0814028,H block 345 mangol puri delhi,DSR-NCR-037
JYOTI MEDICOS,PH130864,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7154093,77.1594898,SHOP 69 SAHIPUR MARKET,DSR-NCR-031
TRUMED PHARMACEUTICALS,PH130010,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.674924,77.1623769,"SHOP NO 6,/58 896,LEKHU NAGAR",DSR-NCR-160
Pawar Medicos,PH082037,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.69374,77.07084,"E-2/503, Ground floor, Sultan Puri",DSR-NCR-032
LIFE LINE CHEMIST,PH081810,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4676623,77.1530753,"Shop No.-1,Ground Floor,Plot No.49,Kh.",DSR-GT-NCR-503
Vijay Medicos,PH110983,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6949977,77.0680155,Sultan Puri,DSR-NCR-032
Shri Kamal Medicos Agencies,PH021300,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5252115,77.2538533,C-8 Alaknanda Market Kalka ji New Delhi-110019,DSR-NCR-041
Unique I Pet Shop(ROA)-Silver,PS006023,Metro > ASE-SPT-NCR-East > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.66918914,77.28726428,"B-146, Gali No-1 West Vinod Nagar Opp Press Appt. Patparganj",DSR-SPT-NCR-530
BHAI MEDICOS <B0021>,PH041132,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7017502,77.0815019,P-2/28 SULTANPURINEW DELHI-110041,DSR-NCR-032
Delhi Pharmacy,PH092499,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6130172,77.3119223,"23/230, Tirlok Puri, Delhi",DSR-NCR-154
Janta medicos,PH101480,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4951128,77.2353348,Shop no 1 gf k block,DSR-GT-NCR-610
The Family Store(ROA),TG008360,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Traditional Grocery,[object Object],28.626852,77.1475743,"R-44,INDERPURINEW DELHI-110012",DSR-GT-NCR-424
Satyam medicos,PH106295,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6720763,77.0676562,Shop no 3,DSR-GT-NCR-652
Hariyana Medicos,PH121557,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6949694,77.0681202,Sultan Puri,DSR-NCR-032
