placeId,address,sub_channel,latitude,longitude,outlet_name,coldCallProbabilityWeight
Jw5e5c8L9DDkRR5ID8niIvIs," Rajiv Chowk, B Block, Connaught Place, New Delhi, Delhi 110001",Clothing store,28.63417,77.2192,H&M,NaN%
Jq6qqPzb9DDkRqspUorgpw3o," SHOP NO 172 , ENTRY FROM GATE NO 6, Palika Bazar, Connaught Place, New Delhi, Delhi 110001",Perfume store,28.6307131,77.2193827,Jain Super Store,NaN%
JZxOonzf9DDkRJ0-B-vFQ3m4," number 4, E Block, E-5, Rajiv Chowk, opposite Metro Gate, Connaught Place, New Delhi, Delhi 110001",Home goods store,28.6330279,77.2213922,MINISO CP,NaN%
Jd-3rnjD9DDkRCk-jwCG6sn8," Hamilton House, CONNAUGHT PLACE, A-1, next to Starbucks Coffee, Block A, Connaught Place, New Delhi, Delhi 110001",Clothing store,28.6322495,77.2178216,"Fabindia, Connaught Place (A Block)",NaN%
JO1Zdzkn9DDkRSUeULbmtONo," No M55, Ground Floor, Opposite Haldiram, Connaught Place, New Delhi, Delhi 110001",Cosmetics store,28.6337683,77.2224373,The Body Shop,NaN%
Jbw25cTf9DDkRt54TjVfjwyk," Ground Floor, Odeon Cine Complex, Middle Cir, D Block, Connaught Place, New Delhi, Delhi 110001 Located in: Odeon",Electronics store,28.634153,77.2213305,Croma - Odeon CP,NaN%
J7RrOnBv9DDkRY2urtGlPLUg," Building No. 1, 1-A, Radial Rd Number 2, Block A, Connaught Place, New Delhi, Delhi 110001",Clothing store,28.6323437,77.2177076,"UNIQLO Connaught Place, Delhi",NaN%
J3w2BVEj9DDkRfWNOZEiDkdw," Block G, Connaught Place, New Delhi, Delhi 110001",PharmacyOpen ⋅ Closes 11 pm,28.6339233,77.217019,Apollo Pharmacy - Connaught Place,NaN%
J1TYCHTj9DDkRguyXSs-TBkY," GF Plaza cinema bldg, Block H, Connaught Place, New Delhi, Delhi 110001 Floor 0 · PVR Plaza-CP,Delhi",Clothing store,28.6350721,77.2195027,Marks and Spencer,NaN%
JcRt8HEj9DDkRLqZLs82Xhew," Shop No. 2G Ground Floor Marine Arcade Rajiv chowk metro station Gate no 1, Block G, Connaught Place, New Delhi, Delhi 110001",Pharmacy,28.6338409,77.2174297,Nath Brothers,NaN%
