placeId,address,sub_channel,phone,latitude,longitude,googleUrl,outlet_name
JoZX4DwT9DDkRmFpkDV5rui0,"Dr.sanjay dhingra clinic, 753, Gali Takhat Wali Suiwalan",Medical clinic, 098100 98790,28.644661,77.2352454,https://www.google.com/maps/place/Dr.+Sanjay+Dhingra+Clinic/data=!4m7!3m6!1s0x390cfd040ff895a1:0x2dba6b5e0d645a98!8m2!3d28.644661!4d77.2352454!16s%2Fg%2F11f9wtg6g2!19sChIJoZX4DwT9DDkRmFpkDV5rui0?authuser=0&hl=en&rclk=1,Dr. Sanjay Dhingra Clinic
JMxvHW9_8DDkRfbhP38zYey8,"No.51,Ist Floor, Ansari Market, Dr Subhash Bhargava Marg",Medical clinic, 098187 70891,28.6437734,77.2410044,https://www.google.com/maps/place/Care+Clinic/data=!4m7!3m6!1s0x390cfcdf5bc71b33:0x2f7bd8ccdf4fb87d!8m2!3d28.6437734!4d77.2410044!16s%2Fg%2F1pv07bhdl!19sChIJMxvHW9_8DDkRfbhP38zYey8?authuser=0&hl=en&rclk=1,Care Clinic
JI_wRNCf9DDkR4BWiYiSVN9M,"3292, New Delhi, Gate Bazar, Division",Medical clinic, 096501 90991,28.6423214,77.2387562,https://www.google.com/maps/place/Shifa+Clinic/data=!4m7!3m6!1s0x390cfd273411fc23:0xd337952462a215e0!8m2!3d28.6423214!4d77.2387562!16s%2Fg%2F11sj8m8rm_!19sChIJI_wRNCf9DDkR4BWiYiSVN9M?authuser=0&hl=en&rclk=1,Shifa Clinic
JbZ70Jd_8DDkR0NuBUtKR3Nc,,Skin care clinic, 011 2326 1880,28.6437247,77.2428547,https://www.google.com/maps/place/Skin+Care+Clinic+Sanjiv+Jain/data=!4m7!3m6!1s0x390cfcdf25f49e6d:0xd7dc91d25281dbd0!8m2!3d28.6437247!4d77.2428547!16s%2Fg%2F11csbqr573!19sChIJbZ70Jd_8DDkR0NuBUtKR3Nc?authuser=0&hl=en&rclk=1,Skin Care Clinic Sanjiv Jain
Jw_hqGNn8DDkRxSSqGxg-Zmk,,Hospital, 070420 48962,28.6416733,77.2443463,https://www.google.com/maps/place/Vedant+Medical+Centre/data=!4m7!3m6!1s0x390cfcd9186af8c3:0x69663e181baa24c5!8m2!3d28.6416733!4d77.2443463!16s%2Fg%2F11g8ltthff!19sChIJw_hqGNn8DDkRxSSqGxg-Zmk?authuser=0&hl=en&rclk=1,Vedant Medical Centre
Jne2yeCD9DDkRstT2CfhPSgY,"4/5, Netaji Subhash Marg, opp. Moti Mahal",Medical clinic, 011 4654 0000,28.6464455,77.2404953,https://www.google.com/maps/place/Dr.Reckeweg+Exclusive+Clinic/data=!4m7!3m6!1s0x390cfd2078b2ed9d:0x64a4ff809f6d4b2!8m2!3d28.6464455!4d77.2404953!16s%2Fg%2F1tm0rjr0!19sChIJne2yeCD9DDkRstT2CfhPSgY?authuser=0&hl=en&rclk=1,Dr.Reckeweg Exclusive Clinic
JdYSlOSr9DDkR0oLMUurdJh8,,Non-governmental organization, 011 2323 5505,28.6297996,77.2387065,https://www.google.com/maps/place/Lok+Kalyan+Samiti/data=!4m7!3m6!1s0x390cfd2a39a58475:0x1f26ddea52cc82d2!8m2!3d28.6297996!4d77.2387065!16s%2Fg%2F11bw7dbhq2!19sChIJdYSlOSr9DDkR0oLMUurdJh8?authuser=0&hl=en&rclk=1,Lok Kalyan Samiti
Jk2rnqCD9DDkR3GleNKyH-F4,,Sexologist, 092111 66888,28.643303,77.24024,https://www.google.com/maps/place/Chetan+Clinic/data=!4m7!3m6!1s0x390cfd20a8e76a93:0x5ef887ac345e69dc!8m2!3d28.643303!4d77.24024!16s%2Fg%2F12qgzq7fj!19sChIJk2rnqCD9DDkR3GleNKyH-F4?authuser=0&hl=en&rclk=1,Chetan Clinic
J8xxwjBv9DDkRZENhalKJpjU,"Gandhi Market, 16, Mata Sundari Ln",Physiotherapist, 093118 73836,28.6370078,77.2304227,https://www.google.com/maps/place/PhysioWellCare+Clinic+-+ORTHO-NEURO-SPORTS+INJURIES/data=!4m7!3m6!1s0x390cfd1b8c701cf3:0x35a689526a614364!8m2!3d28.6370078!4d77.2304227!16s%2Fg%2F11pcmfkvlg!19sChIJ8xxwjBv9DDkRZENhalKJpjU?authuser=0&hl=en&rclk=1,PhysioWellCare Clinic - ORTHO-NEURO-SPORTS INJURIES
Jy6K4E9_8DDkRt9q5-tg11jc,"Hindi Park, 79, Shyam Lal Rd",Physician referral service, 092120 44070,28.6442881,77.2420645,https://www.google.com/maps/place/Doctor/data=!4m7!3m6!1s0x390cfcdf13b8a2cb:0x37d635d8fab9dab7!8m2!3d28.6442881!4d77.2420645!16s%2Fg%2F1td4n211!19sChIJy6K4E9_8DDkRt9q5-tg11jc?authuser=0&hl=en&rclk=1,Doctor
JhfGpSOv9DDkR5G8hGUKndRQ,"2858, Kucha Chelan, opp. MCD School",Medical Center, 098732 28415,28.645355,77.2382449,https://www.google.com/maps/place/Uniwell+%28The+Unani+Wellness+%26+Hijamah+Clinic%29/data=!4m7!3m6!1s0x390cfdeb48a9f185:0x1475a74219216fe4!8m2!3d28.645355!4d77.2382449!16s%2Fg%2F11t5q328fw!19sChIJhfGpSOv9DDkR5G8hGUKndRQ?authuser=0&hl=en&rclk=1,Uniwell (The Unani Wellness & Hijamah Clinic)
JyYkjVgD9DDkRJv78o5L_c_g,"79, Shyam Lal Rd",Medical clinic, 011 2324 6764,28.6441037,77.2422301,https://www.google.com/maps/place/Dr.Brij+Mohan+Child+welfare+clinic/data=!4m7!3m6!1s0x390cfd00562389c9:0xf873ff92a3fcfe26!8m2!3d28.6441037!4d77.2422301!16s%2Fg%2F11wn11d_59!19sChIJyYkjVgD9DDkRJv78o5L_c_g?authuser=0&hl=en&rclk=1,Dr.Brij Mohan Child welfare clinic
JO1PoFd_8DDkRW-5CM--Lqzs,"A 84, Ansari Rd, near Sbi Bank",Medical clinic, 099117 00048,28.6444524,77.2422298,https://www.google.com/maps/place/Dr.+Dharmendra+Clinic/data=!4m7!3m6!1s0x390cfcdf15e8533b:0x3bab8bef3342ee5b!8m2!3d28.6444524!4d77.2422298!16s%2Fg%2F11pzryw_lw!19sChIJO1PoFd_8DDkRW-5CM--Lqzs?authuser=0&hl=en&rclk=1,Dr. Dharmendra Clinic
Ju_WpWRr9DDkRlTn3GIqz72g,,Medical clinic, 093118 26767,28.6433837,77.2424347,https://www.google.com/maps/place/Dr.+R+R+Gupta+Piles+Hospital+-+Piles+Hospital+in+Delhi+%7C+Fistula+Treatment+%7C+Laser+Pilonidal+Sinus+Treatment+in+Delhi/data=!4m7!3m6!1s0x390cfd1a59a9f5bb:0x68efb38a18f73995!8m2!3d28.6433837!4d77.2424347!16s%2Fg%2F1v_z78n5!19sChIJu_WpWRr9DDkRlTn3GIqz72g?authuser=0&hl=en&rclk=1,Dr. R R Gupta Piles Hospital - Piles Hospital in Delhi | Fistula Treatment | Laser Pilonidal Sinus Treatment in Delhi
JS4BxX9_8DDkRZsjz5xayIWo,"22, Netaji Subhash Marg",Medical clinic, 011 2326 2300,28.6440658,77.2406149,https://www.google.com/maps/place/Sabharwal+Poly+Clinic/data=!4m7!3m6!1s0x390cfcdf5f71804b:0x6a21b216e7f3c866!8m2!3d28.6440658!4d77.2406149!16s%2Fg%2F12jll9pmx!19sChIJS4BxX9_8DDkRZsjz5xayIWo?authuser=0&hl=en&rclk=1,Sabharwal Poly Clinic
JmQqfaCv9DDkRM4OX_fet4wY,"72, Ansari Rd",Medical Center, 093114 82345,28.6413064,77.2422133,https://www.google.com/maps/place/Hospital4Home/data=!4m7!3m6!1s0x390cfd2b689f0a99:0x6e3adf7fd978333!8m2!3d28.6413064!4d77.2422133!16s%2Fg%2F11mv50z4xb!19sChIJmQqfaCv9DDkRM4OX_fet4wY?authuser=0&hl=en&rclk=1,Hospital4Home
J4Xi1bgP9DDkRUmNCHrxbtQ0,"1st Floor, Police Station, 41, Netaji Subhash Marg, next to Daryaganj",Dental clinic, 097171 47478,28.6423481,77.2407929,https://www.google.com/maps/place/Dr+Dhalla%27s+Dental+Clinic/data=!4m7!3m6!1s0x390cfd036eb578e1:0xdb55bbc1e426352!8m2!3d28.6423481!4d77.2407929!16s%2Fg%2F1td5vjn3!19sChIJ4Xi1bgP9DDkRUmNCHrxbtQ0?authuser=0&hl=en&rclk=1,Dr Dhalla's Dental Clinic
J832_CsL9DDkRIkar6Rsa100,"1630, Pataudi House",Dental clinic, 098996 18534,28.6477626,77.2382591,https://www.google.com/maps/place/Khidmat+Dental+%26+Implant+Clinic:+Best+dental+Clinic+in+Daryaganj/data=!4m7!3m6!1s0x390cfdc20abf7df3:0x4dd71a1be9ab4622!8m2!3d28.6477626!4d77.2382591!16s%2Fg%2F11rzsq3ns4!19sChIJ832_CsL9DDkRIkar6Rsa100?authuser=0&hl=en&rclk=1,Khidmat Dental & Implant Clinic: Best dental Clinic in Daryaganj
JvYsweyH9DDkRXxJcM5uGFic,,Physiotherapist, 097174 11502,28.6440369,77.235214,https://www.google.com/maps/place/M.S.+physiotherapy+Clinic/data=!4m7!3m6!1s0x390cfd217b308bbd:0x2716869b335c125f!8m2!3d28.6440369!4d77.235214!16s%2Fg%2F11f53qhp_4!19sChIJvYsweyH9DDkRXxJcM5uGFic?authuser=0&hl=en&rclk=1,M.S. physiotherapy Clinic
Ju5Wzn9_8DDkRLkPDXodiiX0,,Eye care center, 011 4352 4444,28.645873,77.2420112,"https://www.google.com/maps/place/Dr.+Shroff%60s+Charity+Eye+Hospital,+New+Delhi/data=!4m7!3m6!1s0x390cfcdf9fb395bb:0x7d8962875ec3432e!8m2!3d28.645873!4d77.2420112!16s%2Fg%2F1tg59h0n!19sChIJu5Wzn9_8DDkRLkPDXodiiX0?authuser=0&hl=en&rclk=1","Dr. Shroff`s Charity Eye Hospital, New Delhi"
JAQAAQN_8DDkRxJVCVmsjrMU,"Madras House, 67/4, Central",Medical clinic, 098734 43010,28.6444615,77.2412672,https://www.google.com/maps/place/Dr+M+Khanchandani/data=!4m7!3m6!1s0x390cfcdf40000001:0xc5ac236b564295c4!8m2!3d28.6444615!4d77.2412672!16s%2Fg%2F1tj_3ml7!19sChIJAQAAQN_8DDkRxJVCVmsjrMU?authuser=0&hl=en&rclk=1,Dr M Khanchandani
J0YNcuhj9DDkR7R1bci8b5Jw,"34, J6Xm+Ghp, Old, Matia Mahal Rd",Medical clinic, 098735 35752,28.6488125,77.2339375,https://www.google.com/maps/place/Life+Care+Clinic/data=!4m7!3m6!1s0x390cfd18ba5c83d1:0x9ce41b2f725b1ded!8m2!3d28.6488125!4d77.2339375!16s%2Fg%2F11kb4cn9mj!19sChIJ0YNcuhj9DDkR7R1bci8b5Jw?authuser=0&hl=en&rclk=1,Life Care Clinic
J6boknSD9DDkRSBzx3mxbf5E,"First floor, 4709/21, Dayanand Rd, opposite to Govt Sarvoddaya Kanya Vidayalya, above Exise Battery Agency",Dental clinic, 083183 76959,28.6449565,77.2436188,https://www.google.com/maps/place/Pristine+Dental+Care/data=!4m7!3m6!1s0x390cfd209d24bae9:0x917f5b6cdef11c48!8m2!3d28.6449565!4d77.2436188!16s%2Fg%2F11stxpt78m!19sChIJ6boknSD9DDkRSBzx3mxbf5E?authuser=0&hl=en&rclk=1,Pristine Dental Care
J_df3v779DDkRKS-BV85ojPk,Shankar Gali,Medical clinic,092112 09163,28.6445619,77.2301068,https://www.google.com/maps/place/Nature+Health+Care+Clinic/data=!4m7!3m6!1s0x390cfdbebff7d7fd:0xf98c68ce57812f29!8m2!3d28.6445619!4d77.2301068!16s%2Fg%2F11smjy770z!19sChIJ_df3v779DDkRKS-BV85ojPk?authuser=0&hl=en&rclk=1,Nature Health Care Clinic
