placeId,address,sub_channel,phone,latitude,longitude,status,type,googleUrl,outlet_name,ratingText,stars,numberOfReviews,websites,coldCallProbabilityWeight
Ju37wAZ8iDTkRuxxmqpe6C4c," House No. 758, Main Sohna Road, Vatika Chowk D -Block near Indian Oil Petrol Pump near Vatika Chowk, Sector 49, Gurugram, Haryana 122001",Boys' hostel, 099902 30811,28.3986261,77.0446596,Available,NA,https://www.google.com/maps/place/%F0%9D%97%A3%F0%9D%97%9A+%F0%9D%97%99%F0%9D%97%A2%F0%9D%97%A5+%F0%9D%97%A0%F0%9D%97%94%F0%9D%97%9F%F0%9D%97%98+%F0%9D%97%94%F0%9D%97%A7+%F0%9D%97%9A%F0%9D%97%A8%F0%9D%97%A5%F0%9D%97%A8%F0%9D%97%9A%F0%9D%97%A5%F0%9D%97%94%F0%9D%97%A0/data=!4m7!3m6!1s0x390d229f01f07ebb:0x870bba97aa661cbb!8m2!3d28.3986261!4d77.0446596!16s%2Fg%2F12j5swfg6!19sChIJu37wAZ8iDTkRuxxmqpe6C4c?authuser=0&hl=en&rclk=1,𝗣𝗚 𝗙𝗢𝗥 𝗠𝗔𝗟𝗘 𝗔𝗧 𝗚𝗨𝗥𝗨𝗚𝗥𝗔𝗠,4.3 stars 420 Reviews,4.3,420,"[""http://www.shreedurgapg.com/""]",75.23%
JkfzMhnQYDTkRqk2G5hIWOSA," 563 563, Vatika Chowk, Badshahpur Sohna Rd Hwy, Block S, Sector 49, Gurugram, Haryana 122001",Boys' hostel, 088608 86694,28.4152709,77.0419029,Available,NA,https://www.google.com/maps/place/%F0%9D%97%97%F0%9D%98%82%F0%9D%97%BF%F0%9D%97%B4%F0%9D%97%AE+%F0%9D%97%A3%F0%9D%97%B4+%F0%9D%97%99%F0%9D%97%BC%F0%9D%97%BF+%F0%9D%97%95%F0%9D%97%BC%F0%9D%98%86%F0%9D%98%80/data=!4m7!3m6!1s0x390d187486ccfc91:0x20391612e6864daa!8m2!3d28.4152709!4d77.0419029!16s%2Fg%2F11c74hyvlh!19sChIJkfzMhnQYDTkRqk2G5hIWOSA?authuser=0&hl=en&rclk=1,𝗗𝘂𝗿𝗴𝗮 𝗣𝗴 𝗙𝗼𝗿 𝗕𝗼𝘆𝘀,4.7 stars 247 Reviews,4.7,247,"[""http://www.shreedurgapg.com/""]",76.35%
JkxQDmvAYDTkR8yZKg81t-Kk," House no-1, 111, Block C, South City I, Sector 41, Gurugram, Haryana 122001",Girls' hostel, 099115 53340,28.4589843,77.0615454,Available,On-site services,https://www.google.com/maps/place/Phogat+Girls+PG/data=!4m7!3m6!1s0x390d18f09a031493:0xa9f86dcd834a26f3!8m2!3d28.4589843!4d77.0615454!16s%2Fg%2F11btyvg0gx!19sChIJkxQDmvAYDTkR8yZKg81t-Kk?authuser=0&hl=en&rclk=1,Phogat Girls PG,4.9 stars 840 Reviews,4.9,840,"[""http://www.girlspggurgaon.com/""]",83.81%
J5RYV2lUZDTkRoIYO-CuRIVA," 1047, Sector 34, Huda Colony, Sector 46, Gurugram, Haryana 122001",Girls' hostel, 099115 53340,28.4357954,77.051697,Available,NA,https://www.google.com/maps/place/Phogat+PG+Sector+46/data=!4m7!3m6!1s0x390d1955da1516e5:0x5021912bf80e86a0!8m2!3d28.4357954!4d77.051697!16s%2Fg%2F11hzzbfjcn!19sChIJ5RYV2lUZDTkRoIYO-CuRIVA?authuser=0&hl=en&rclk=1,Phogat PG Sector 46,5.0 stars 441 Reviews,5,441,"[""http://www.girlspggurgaon.com/""]",82.45%
Jo1racNcZDTkRxre4Nin8DWw," Block K, South City I, Sector 40, Gurugram, Haryana 122001",HostelOpen ⋅ Closes 11 pm, 092122 64601,28.4523093,77.0610086,Available,NA,https://www.google.com/maps/place/PG+%28+only+for+Professional%29/data=!4m7!3m6!1s0x390d19d770da5aa3:0x6c0dfc2936b8b7c6!8m2!3d28.4523093!4d77.0610086!16s%2Fg%2F11x1qqsg7m!19sChIJo1racNcZDTkRxre4Nin8DWw?authuser=0&hl=en&rclk=1,PG ( only for Professional),5.0 stars 33 Reviews,5,33,"[""NA""]",69.44%
Jg1nQaggjDTkRi33xiKaQb54," Plot No-4 & 5, Neelkanth Enclave, Sohna - Gurgaon Rd, near Vatika Chowk, Sector 69, Gurugram, Haryana 122101",Hostel, 096438 40009,28.398423,77.044719,Available,NA,https://www.google.com/maps/place/Royal+PG+%7C+PG+in+Gurgaon+%7C+Best+Boys+%26+Girls+PG+Sector+69+Gurgaon+%7C+PG+Near+Genpact+Badshahpur+%7C+Luxury+Furnished+PG/data=!4m7!3m6!1s0x390d23086ad05983:0x9e6f90a688f17d8b!8m2!3d28.398423!4d77.044719!16s%2Fg%2F11qg15rysh!19sChIJg1nQaggjDTkRi33xiKaQb54?authuser=0&hl=en&rclk=1,Royal PG | PG in Gurgaon | Best Boys & Girls PG Sector 69 Gurgaon | PG Near Genpact Badshahpur | Luxury Furnished PG,4.1 stars 428 Reviews,4.1,428,"[""https://royal97.rentok.com/""]",73.32%
JpcoBTCMYDTkRUNuFVDblgSU," House no-523/21, Phogat Boys Pg, Street Number 9, Om Nagar, Sector 11, Gurugram, Haryana 122001",Boys' hostel, 099117 80028,28.4486454,77.021445,Available,NA,https://www.google.com/maps/place/Phogat+boys+pg/data=!4m7!3m6!1s0x390d18234c01caa5:0x2581e5365485db50!8m2!3d28.4486454!4d77.021445!16s%2Fg%2F11c1czpz_9!19sChIJpcoBTCMYDTkRUNuFVDblgSU?authuser=0&hl=en&rclk=1,Phogat boys pg,4.8 stars 764 Reviews,4.8,764,"[""NA""]",86.53%
Ju2ABu5giDTkRlVO2vHsDfU0," Tikri, Sector 48, Gurugram, Haryana 122001",Hostel095402 02812, 095402 02812,28.4159625,77.0343944,Available,On-site services,https://www.google.com/maps/place/Bala+Ji+Homes+PG/data=!4m7!3m6!1s0x390d2298bb0160bb:0x4d7d037bbcb65395!8m2!3d28.4159625!4d77.0343944!16s%2Fg%2F11c44k496y!19sChIJu2ABu5giDTkRlVO2vHsDfU0?authuser=0&hl=en&rclk=1,Bala Ji Homes PG,"3.8 stars 1,104 Reviews",3.8,"1,104","[""NA""]",50.30%
JtTPTSosXDTkRbmDZIwFlr5Y," Neelkanth enclave, Ekta Hospitals, Boys PG 6, Badshahpur Sohna Rd Hwy, Sector 66, Gurugram, Haryana 122101",Hostel, 088105 08459,28.3980112,77.0447725,Available,NA,https://www.google.com/maps/place/%F0%9D%97%95%F0%9D%97%A2%F0%9D%97%AC%F0%9D%97%A6+%F0%9D%97%A3%F0%9D%97%9A/data=!4m7!3m6!1s0x390d178b4ad333b5:0x96af650123d9606e!8m2!3d28.3980112!4d77.0447725!16s%2Fg%2F11b6gb17ns!19sChIJtTPTSosXDTkRbmDZIwFlr5Y?authuser=0&hl=en&rclk=1,𝗕𝗢𝗬𝗦 𝗣𝗚,4.1 stars 342 Reviews,4.1,342,"[""http://www.shreedurgapg.com/""]",72.21%
JxcH4CFAZDTkR8JU4Q_Ga_fE," H No. 47,Near Reliance fresh Sector 15 Part -1, opp. Radha Krishan Mandir, Gurugram, Haryana 122001",Backpacker Hostel, 095605 37722,28.4534719,77.0371809,Available,NA,https://www.google.com/maps/place/VYOM%E2%80%99s+GIRLS+PG+%7C+Gurgaon/data=!4m7!3m6!1s0x390d195008f8c1c5:0xf1fd9af1433895f0!8m2!3d28.4534719!4d77.0371809!16s%2Fg%2F11g18zcsrl!19sChIJxcH4CFAZDTkR8JU4Q_Ga_fE?authuser=0&hl=en&rclk=1,VYOM’s GIRLS PG | Gurgaon,4.4 stars 102 Reviews,4.4,102,"[""https://www.magicbricks.com/propertyDetail/vyoms-pg-sector-15-part-1-delhi-gurgaon-expressway-in-gurgaon&pgid=4d423131373533677261646531""]",67.15%
