outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
chinmay kirna,CC000195,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Cash & Carry,,23.2148267,77.3928317,Nehru Nagar,DSR-MPC-374
Adi Super Bazaar,DS007191,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Super Grocery,,23.2511416,77.4020134,Kamla Park,DSR-MP-320
Shimla Protines,DS008396,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Super Grocery,,23.247511,77.3965949,Shymla Hills,DSR-MP-320
Shankar Super Market,DS008945,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Super Grocery,,23.2178817,77.3972917,Kotra,DSR-MPC-374
Karuna Dham,NSC00221,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Non Selling Customers,,23.2118267,77.3906583,Makan number.3. Nehru Nagar Kotra,DSR-MP-320
Medicine Temple,PH004144,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2338105,77.3966099,Jawahar Chowk,DSR-MP-320
Shubham Medical,PH004148,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2178852,77.3973421,Kotra,DSR-MPC-374
Dhanvantri Ayurvedic,PH004151,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2153594,77.3917384,Kotra,DSR-MP-320
R.K.Medical,PH004154,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2178817,77.3972917,Kotra,DSR-MPC-374
Moolchand Medical,PH004155,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.234445,77.401226,New Market,DSR-MP-320
Agarwal Medical,PH004156,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2350156,77.4013603,New Market,DSR-MP-320
Yash Medical,PH021691,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2172666,77.3935488,Kotra,DSR-MPC-374
Palash Medical,PH031601,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2261533,77.391695,Shop No Sh1 Jawahar Chouk,DSR-MPC-374
Khantaal Medical,PH041097,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2120571,77.3943532,Nehru Nagar,DSR-MPC-374
aarti medical store,PH041100,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.21719,77.3934267,Kotra sultana bad,DSR-MPC-374
medicine corner,PH041287,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2341333,77.3966183,t.t nagar Jawhar chouk,DSR-MPC-374
keladevi medical,PH044960,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2104184,77.3944306,Nehru Nagar,DSR-MPC-374
yadav medicos,PH055643,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.2299419,77.3912787,"Shop No 8, Bhadbhada Road, Tt Nagar j chouk",DSR-MPC-374
YADAV MEDICAL STORE,PH055721,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Pharmacy,,23.23509,77.39812,shop.1.number van nearby medicine Temple T.T Nagar. Bhopal,DSR-MP-320
Mangal Kirana,TG001250,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Traditional Grocery,,23.2350156,77.4013603,New Market,DSR-MP-320
Prakash Kirana,TG006146,Major Town > SS-Bhopal > Bhopal > Madhya Pradesh > North > Bhopal > MPRAJ > India,Traditional Grocery,,23.2178817,77.3972917,Kotra Bhopal,DSR-MPC-374
