placeId,address,sub_channel,phone,latitude,longitude,googleUrl,outlet_name
J3fOz_iFofDkR3zp5FxuhG6k," 34-39, Lalwani Press Rd, Itwara, Azad Market, Peer Gate Area, Bhopal, Madhya Pradesh 462001 Located in: lalwani Press road Bhopal MP",Discount supermarket, 0755 492 1222,23.2605282,77.4032467,https://www.google.com/maps/place/Batra+Wholesale+Mart/data=!4m7!3m6!1s0x397c6821feb3f3dd:0xa91ba11b17793adf!8m2!3d23.2605282!4d77.4032467!16s%2Fg%2F11csrfgpmy!19sChIJ3fOz_iFofDkR3zp5FxuhG6k?authuser=0&hl=en&rclk=1,Batra Wholesale Mart
JAS_cjOJnfDkRZ4fDwlaXIRc," Plot No B-6, beside Honda Showroom, Kohefiza, Sector-B, Bhopal, Madhya Pradesh 462001",Supermarket, 0755 470 0508,23.2659327,77.3795823,https://www.google.com/maps/place/Reliance+Fresh/data=!4m7!3m6!1s0x397c67e28cdc2f01:0x17219756c2c38767!8m2!3d23.2659327!4d77.3795823!16s%2Fg%2F1tdp80lg!19sChIJAS_cjOJnfDkRZ4fDwlaXIRc?authuser=0&hl=en&rclk=1,Reliance Fresh
JSxrO8p9CfDkR6tTF7HDPrDo," Shop No.3, Ginnori Rd, Chobdarpura, Ginnori, Budhwara, Bhopal, Madhya Pradesh 462001",Supermarket, 098260 54117,23.2511185,77.4018507,https://www.google.com/maps/place/Adi+Bazaar+supermarkert/data=!4m7!3m6!1s0x397c429ff2ce1a4b:0x3aaccf70ecc5d4ea!8m2!3d23.2511185!4d77.4018507!16s%2Fg%2F1q64tbdjl!19sChIJSxrO8p9CfDkR6tTF7HDPrDo?authuser=0&hl=en&rclk=1,Adi Bazaar supermarkert
JbZef2bppfDkRqtSyuMla6Jg," Talliya road masjid ghulam mehboob House no.7 hathi khana, road, Budhwara, Bhopal, Madhya Pradesh 462001",Grocery store, 093298 29551,23.2531496,77.4039922,https://www.google.com/maps/place/EASY+MART/data=!4m7!3m6!1s0x397c69bad99f976d:0x98e85ac9b8b2d4aa!8m2!3d23.2531496!4d77.4039922!16s%2Fg%2F11qntfnxfn!19sChIJbZef2bppfDkRqtSyuMla6Jg?authuser=0&hl=en&rclk=1,EASY MART
JHXeivxNofDkRODPawAYg-yA," 58, Regiment Rd, Niyamatpura, Shahjahanabad, Bhopal, Madhya Pradesh 462001",Grocery store, 098934 01893,23.2710305,77.393991,https://www.google.com/maps/place/Jain+Super+Bazaar/data=!4m7!3m6!1s0x397c6813bfa2771d:0x20fb2006c0da3338!8m2!3d23.2710305!4d77.393991!16s%2Fg%2F11bbrkpk1r!19sChIJHXeivxNofDkRODPawAYg-yA?authuser=0&hl=en&rclk=1,Jain Super Bazaar
JcX8LSRFofDkR9y3hVqdAxcw," 25, Thana Rd, near adarsh hospital, Kali Basti, Peer Gate Area, Bhopal, Madhya Pradesh 462001",Grocery store, 093020 02009,23.2597145,77.3955872,https://www.google.com/maps/place/Guru+Kripa+Super+Store/data=!4m7!3m6!1s0x397c6811490b7f71:0xccc540a756e12df7!8m2!3d23.2597145!4d77.3955872!16s%2Fg%2F11csccfp5p!19sChIJcX8LSRFofDkR9y3hVqdAxcw?authuser=0&hl=en&rclk=1,Guru Kripa Super Store
JKysdIbxCfDkRJDaV4XNZ69c," MIG-2, Bhadbhada Rd, Old MIG Quarters, North TT Nagar, TT Nagar, Bhopal, Madhya Pradesh 462003",Grocery store, 0755 277 9739,23.2347728,77.3972652,https://www.google.com/maps/place/Bajrang+Super+Bazar/data=!4m7!3m6!1s0x397c42bc211d2b2b:0xd7eb5973e1953624!8m2!3d23.2347728!4d77.3972652!16s%2Fg%2F11c325sfzj!19sChIJKysdIbxCfDkRJDaV4XNZ69c?authuser=0&hl=en&rclk=1,Bajrang Super Bazar
JAeGE2xNofDkRb2lkgx9H8V4," 1/2 -39, near Thakkar Baba Colony, Badabagh, Shahjahanabad, Bhopal, Madhya Pradesh 462001",Grocery store, 078989 97911,23.2699029,77.393799,https://www.google.com/maps/place/Earn+Foods/data=!4m7!3m6!1s0x397c6813db84e101:0x5ef1471f8364696f!8m2!3d23.2699029!4d77.393799!16s%2Fg%2F11c466lv1g!19sChIJAeGE2xNofDkRb2lkgx9H8V4?authuser=0&hl=en&rclk=1,Earn Foods
J8TC0hCJofDkR4jCgnKODlN4," Jumerati Rd, Jawahar Chowk, Jumerati, Peer Gate Area, Bhopal, Madhya Pradesh 462001",Indian grocery store, 086026 03669,23.262098,77.4017793,https://www.google.com/maps/place/Bhawani+Kirana+Store/data=!4m7!3m6!1s0x397c682284b430f1:0xde9483a39ca030e2!8m2!3d23.262098!4d77.4017793!16s%2Fg%2F11bbrc7m36!19sChIJ8TC0hCJofDkR4jCgnKODlN4?authuser=0&hl=en&rclk=1,Bhawani Kirana Store
JIYQ47yBofDkRLHxBz90qm1U," Sultania Road, Chaar Batti Square, Char Batti Chowraha, Budhwara, Bhopal, Madhya Pradesh 462001",Indian grocery store, 079879 00262,23.2548995,77.405202,https://www.google.com/maps/place/Ram+Shyam+Kirana+%26+General+Store/data=!4m7!3m6!1s0x397c6820ef388421:0x559b2addcf417c2c!8m2!3d23.2548995!4d77.405202!16s%2Fg%2F124yl5cc5!19sChIJIYQ47yBofDkRLHxBz90qm1U?authuser=0&hl=en&rclk=1,Ram Shyam Kirana & General Store
J003tVjxofDkRcdiQTmnN_zk," 121, near Seetla Mata Mandir, Shanti Nagar, Ibrahimganj, Bhopal, Madhya Pradesh 462001",Grocery store, 099814 20465,23.2690559,77.4043894,https://www.google.com/maps/place/Ravi+Kirana/data=!4m7!3m6!1s0x397c683c56ed4dd3:0x39ffcd694e90d871!8m2!3d23.2690559!4d77.4043894!16s%2Fg%2F1q6kk8r82!19sChIJ003tVjxofDkRcdiQTmnN_zk?authuser=0&hl=en&rclk=1,Ravi Kirana
Ju-s6iyBdfDkRUbNP_DUdC2Q," 6935+F9H, Bhadbhada Rd, Bharkhera Kala, Kopal, Bhopal, Madhya Pradesh 462044",Grocery store, 098276 06171,23.2036768,77.3584882,https://www.google.com/maps/place/Raju+Kirana+Store/data=!4m7!3m6!1s0x397c5d208b3aebbb:0x640b1d35fc4fb351!8m2!3d23.2036768!4d77.3584882!16s%2Fg%2F1q67kqjhk!19sChIJu-s6iyBdfDkRUbNP_DUdC2Q?authuser=0&hl=en&rclk=1,Raju Kirana Store
JNVb_A71DfDkRpM24UMRc-QU," LG-29, Dainik Bhaskar Mall, Narmadapuram Rd, DB City Mall, Zone-I, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462011 Located in: DB City Mall",Hypermarket, 1800 891 0001,23.2323788,77.4302216,https://www.google.com/maps/place/Reliance+SMART+Bazaar/data=!4m7!3m6!1s0x397c43bd03ff5635:0x5f95cc450b8cda4!8m2!3d23.2323788!4d77.4302216!16s%2Fg%2F11syz76zbd!19sChIJNVb_A71DfDkRpM24UMRc-QU?authuser=0&hl=en&rclk=1,Reliance SMART Bazaar
JIc6iIvFDfDkRhtoA0UAYVr8," E 4/23, 10 No Stop Market, opp. Arya Samaj Temple, Arera Colony, Bhopal, Madhya Pradesh 462016",Gourmet grocery store, 081098 57981,23.2130436,77.436192,https://www.google.com/maps/place/Brown+Bascaed/data=!4m7!3m6!1s0x397c43f122a2ce21:0xbf561840d100da86!8m2!3d23.2130436!4d77.436192!16s%2Fg%2F11ll3wcw64!19sChIJIc6iIvFDfDkRhtoA0UAYVr8?authuser=0&hl=en&rclk=1,Brown Bascaed
JwwDeovhpfDkRbt8rKKN4vLs," LIG 308 B Sector, behind Tanatan Dhabha, Bhavna Nagar, Rajeev Nagar, Ayodhya Bypass, Bhopal, Madhya Pradesh 462041",Indian grocery store, 097133 96787,23.2651819,77.4695691,https://www.google.com/maps/place/Rohit+Kirana+And+General+Stores/data=!4m7!3m6!1s0x397c69f8a2de00c3:0xbbbc78a3282bdf6e!8m2!3d23.2651819!4d77.4695691!16s%2Fg%2F11c6f66lyh!19sChIJwwDeovhpfDkRbt8rKKN4vLs?authuser=0&hl=en&rclk=1,Rohit Kirana And General Stores
JP7KzTcNCfDkRB6HOOQB9o34," Unnamed Road, Chitragupt Nagar, Kotra Sultanabad, Bhopal, Madhya Pradesh 462003",Grocery store, 0755 404 2100,23.2175716,77.396707,https://www.google.com/maps/place/Ondoor/data=!4m7!3m6!1s0x397c42c34db3b23f:0x7ea37d0039cea107!8m2!3d23.2175716!4d77.396707!16s%2Fg%2F11hd2362gq!19sChIJP7KzTcNCfDkRB6HOOQB9o34?authuser=0&hl=en&rclk=1,Ondoor
