placeId,address,sub_channel,phone,latitude,longitude,googleUrl,outlet_name
Jfbr18VhbmTkRE29jIxXAerQ," SHOP NO-1&2, NKS PLAZA, near SBI BANK, BEHTA BAZAR, Lucknow, Behta, Uttar Pradesh 226026",Indian grocery store, 073885 22588,26.9815811,81.015717,https://www.google.com/maps/place/SARV+MART/data=!4m7!3m6!1s0x39995b58f1f5ba7d:0xb47ac01523636f13!8m2!3d26.9815811!4d81.015717!16s%2Fg%2F11vhqgzsnb!19sChIJfbr18VhbmTkRE29jIxXAerQ?authuser=0&hl=en&rclk=1,SARV MART
JV2i4cphXmTkRGLon-OYUkXE," 226022 1/5 sec.J jankipuram, Kursi Rd, near Canara bank jankipuram branch, Jankipuram, Lucknow, Uttar Pradesh 226022",Indian grocery store, 080049 21856,26.9205531,80.9655046,https://www.google.com/maps/place/RADHEY+STORES/data=!4m7!3m6!1s0x3999579872b86857:0x719114e6f827ba18!8m2!3d26.9205531!4d80.9655046!16s%2Fg%2F11dzw8pw4k!19sChIJV2i4cphXmTkRGLon-OYUkXE?authuser=0&hl=en&rclk=1,RADHEY STORES
Jz-2jTntZmTkR_F93X7ivm9I," W277+F93, Vaishnavi EInclave Marg, Rajauli, Uttar Pradesh 226026",Grocery store, 099194 19914,26.9136358,81.0134296,https://www.google.com/maps/place/Star+Family+Mart/data=!4m7!3m6!1s0x3999597b4ea3edcf:0xd29bafb85f775ffc!8m2!3d26.9136358!4d81.0134296!16s%2Fg%2F11rwh22mng!19sChIJz-2jTntZmTkR_F93X7ivm9I?authuser=0&hl=en&rclk=1,Star Family Mart
Jy2UI8O1ZmTkRTIMR6npcRd0," Chaman Enclave ( Mishrpur, Chauraha, Kursi Rd, near bharat Gass, Lucknow, Palaka, Uttar Pradesh 226026",Indian grocery store, 081759 65922,26.9766181,81.012366,https://www.google.com/maps/place/AHM+Grocery+Store/data=!4m7!3m6!1s0x399959edf00865cb:0xdd455c7aea11834c!8m2!3d26.9766181!4d81.012366!16s%2Fg%2F11vx5b5f67!19sChIJy2UI8O1ZmTkRTIMR6npcRd0?authuser=0&hl=en&rclk=1,AHM Grocery Store
Ja7eOQXhXmTkRQD8XM601gbQ," 2, Kursi Rd, opposite Simran khan ji Residence, Gudamba Thana, Eden Enclave, Lucknow, Guramba, Uttar Pradesh 226021",Indian grocery store, 088814 60606,26.9318551,80.9721377,https://www.google.com/maps/place/Pwb+Store/data=!4m7!3m6!1s0x39995778418eb76b:0xb48135ad33173f40!8m2!3d26.9318551!4d80.9721377!16s%2Fg%2F11qr3lgd2r!19sChIJa7eOQXhXmTkRQD8XM601gbQ?authuser=0&hl=en&rclk=1,Pwb Store
J17e65Cb9mzkRbApo77HGA24," Shop No-1, Complex, Manas Grn Rd, Indira Nagar, Lucknow, Uttar Pradesh 226016",Indian grocery store, 095809 52345,26.9196002,81.0112129,https://www.google.com/maps/place/Faithway+Market/data=!4m7!3m6!1s0x399bfd26e4bab7d7:0x6e03c6b1ef680a6c!8m2!3d26.9196002!4d81.0112129!16s%2Fg%2F11n7fqzn42!19sChIJ17e65Cb9mzkRbApo77HGA24?authuser=0&hl=en&rclk=1,Faithway Market
JK3V2vLfjmzkRWuSMKLRe0qg," 95, Rajveer Nagar, Patel Nagar Rd, Vistar-3, Lucknow, Uttar Pradesh 226016",Grocery store, 094522 93243,26.8804351,81.0093808,https://www.google.com/maps/place/Maa+Tara+Family+Store+-+Best+Grocery+Store+in+Lucknow/data=!4m7!3m6!1s0x399be3b7bc76752b:0xa8d25eb4288ce45a!8m2!3d26.8804351!4d81.0093808!16s%2Fg%2F11rsbq49tk!19sChIJK3V2vLfjmzkRWuSMKLRe0qg?authuser=0&hl=en&rclk=1,Maa Tara Family Store - Best Grocery Store in Lucknow
JVSRkRnhXmTkRDshqmo9zh2I," Jankipuram Gardens, Nehar Road, near Career Public School, Madiyaon, Lucknow, Uttar Pradesh 226021",Indian grocery store, 079856 95314,26.9332258,80.960744,https://www.google.com/maps/place/SHYAM+SUPER+STORE/data=!4m7!3m6!1s0x3999577846642455:0x6287738f9a6ac80e!8m2!3d26.9332258!4d80.960744!16s%2Fg%2F11jvh1hgvg!19sChIJVSRkRnhXmTkRDshqmo9zh2I?authuser=0&hl=en&rclk=1,SHYAM SUPER STORE
Jg_bTLM1XmTkRZuR8ZQneMPc," B - 19, Beli Garad Chauraha Main Rd, Sector-A, Sector K, Aliganj, Lucknow, Uttar Pradesh 226024",Supermarket, 093058 05241,26.8967708,80.9429785,https://www.google.com/maps/place/Pappoo+Store+Aliganj/data=!4m7!3m6!1s0x399957cd2cd3f683:0xf730de09657ce466!8m2!3d26.8967708!4d80.9429785!16s%2Fg%2F11b7ttnkz9!19sChIJg_bTLM1XmTkRZuR8ZQneMPc?authuser=0&hl=en&rclk=1,Pappoo Store Aliganj
Jv1uZ3KpXmTkRVzVXVLkuxkw," Shop No. 14, 60 Feet Rd, Sultanpur Village, Jankipuram, Lucknow, Uttar Pradesh 226021",Supermarket, 097932 57229,26.9267597,80.9432042,https://www.google.com/maps/place/Harish+Super+Store/data=!4m7!3m6!1s0x399957aadc995bbf:0x4cc62eb954573557!8m2!3d26.9267597!4d80.9432042!16s%2Fg%2F11c3k54l56!19sChIJv1uZ3KpXmTkRVzVXVLkuxkw?authuser=0&hl=en&rclk=1,Harish Super Store
