outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
Shiv Shakti Enterprise,CC000153,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Traditional Grocery,,26.8966825,80.98751,Faridi Nagar  picnic spot road,DSR-UP-381
Nandi Store,DS009680,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Super Grocery,,26.8565628,80.9036989,Rajni Khand,DSR-E/UP-051
Sri Syam Super Store,DS014221,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Super Grocery,,26.8565476,80.9037075,bangla bazar aasiyana,DSR-E/UP-051
Saksham Departmental,DS014623,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Super Grocery,,26.7805141,80.8997997,Parag road near mohita medicals l.d.a,DSR-E/UP-051
Happy super mart,DS015085,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Super Grocery,,26.8578349,80.8793515,bangla bazar police chowki nitin medico,DSR-E/UP-051
Neha Medical Store,PH007070,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.8893356,80.9961657,Lucknow,DSR-UP-381
Shri Balaji Medical,PH007072,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.9205313,80.9542294,Lucknow,DSR-UP-381
Nitin Medico,PH007073,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.7955651,80.923611,Aashiyana,DSR-E/UP-051
Aashiyana Medical Hall,PH007076,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.794769,80.9157272,Aashiyana,DSR-E/UP-051
Ma Laxmi Medical,PH007079,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.7911241,80.9106777,Aashiyana,DSR-E/UP-051
Gaur Medicals.,PH007086,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.79531167,80.89872667,Hind Nagar Lda,DSR-E/UP-051
New Saral Medical,PH007087,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.7881184,80.8905449,Hind Nagar Lda,DSR-E/UP-242
New Sanjeevni Medical,PH007088,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.7826417,80.8952567,Hind Nagar Lda,DSR-E/UP-242
Syam Medical Store,PH007093,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.8565364,80.9037066,Aashiyana,DSR-E/UP-051
Wadhwa Medicos,PH007175,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.794985,80.8909417,Krishna Nagarkanpur Roadlucknow,DSR-E/UP-242
Rajpal Medical Store,PH007176,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.794985,80.8909417,Krishna Nagar Kanpur Road Lucknow,DSR-E/UP-242
Rajendra Medicine Point,PH007177,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.7951094,80.8909388,A1 Sindhi Market Krishna Nagar Lucknow,DSR-E/UP-242
Mohan Store,PH007178,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.8009688,80.8853141,2239 Krishna Nagar Near Water Tank,DSR-E/UP-242
Rajdhani Medical Store,PH007180,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.7826417,80.8952567,Shop No 2 1St Vijay Nagar Kanpur Road Lucknow,DSR-E/UP-242
Uday Laxmi Medical,PH007291,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.8565456,80.9037067,3/166 Rajni Khand Lucknow,DSR-E/UP-051
Sanjeevani Medical Store,PH007293,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.7803057,80.9306356,Ugf 116B Ratan Khand Lda Lucknow,DSR-E/UP-051
Sri Guru Nanak Medical Store,PH007294,Mini Metro > SS-GT-Lucknow > Lucknow > Uttar Pradesh > East > Lucknow > Uttar Pradesh > India,Pharmacy,,26.7803325,80.9304091,"Priyam Crossing Plaza, Rashmi Khand",DSR-E/UP-051
