loginid,outletcode,qId,question,user_answer,llm_response
pet_store_001,PS001,1001,Kaun-kaun se Mars ke products aapke store pe available hain?,"Haan bhaiya, Mars ke kaafi saare products rakhe hain hum. Pedigree ka dog food, Whiskas ki cat food aur Dreamies ke treats bhi hain. Aaj kal log Royal Canin bhi demand kar rahe hain, toh woh bhi rakhna shuru kiya hai!",testing
pet_store_001,PS001,1002,"Aapke store pe kaunse products sabse zyada bikte hain, aur aap khud regularly kaunse products lete hain?",Sabse zyada Pedigree ke biscuits aur Royal Canin ka dog food bikta hai. Log apne pets ke liye yahi prefer karte hain. Khud bhi kabhi-kabhi Dreamies ya Whiskas ka kuch naya try kar leta hoon!,testing
pet_store_001,PS001,1003,Abhi filhaal kaunse products ki demand zyada chal rahi hai?,Aaj kal log grain-free aur organic pet food ki demand kar rahe hain. Shayad health-conscious ho rahe hain ya phir naye cheezein try karna pasand karte hain. Pedigree ka naye flavor kaafi bik raha hai!,testing
pet_store_001,PS001,1004,Jab scheme milta hai toh sales badhti hai ya waise hi rehti hai?,"Haan, jab discount ya scheme lagti hai toh sales badhti hai. Log zyada quantity kharidte hain ya naye customers bhi try karte hain. Offer kaafi attractive hota hai toh demand bhi badh jati hai!",testing
pet_store_001,PS001,1005,Kya customers Mars ke naye products try karne me interested hote hain?,"Haan, kaafi log naye products try karne me interested hote hain, especially agar koi naya flavor ya variant aata hai. Agar company koi scheme ya sample bhi deti hai toh aur zyada log try karne ke liye ready hote hain!",testing
medical_store_002,MS002,1001,Kaun-kaun se Mars ke products aapke store pe available hain?,"Haan ji, Mars ke healthcare products rakhe hain, jaise Ensure aur Pediasure. Log apni health ke liye inhe lete hain, especially jo weak feel karte hain ya doctor ne recommend kiya ho.",testing
medical_store_002,MS002,1002,"Aapke store pe kaunse products sabse zyada bikte hain, aur aap khud regularly kaunse products lete hain?","Ensure aur Pediasure sabse zyada bikte hain. Kayi log rozana lete hain, aur mai bhi kabhi-kabhi ghar ke buzurgon ke liye lata hoon. Aaj kal diabetic patients ke liye special protein supplements bhi chal rahe hain.",testing
medical_store_002,MS002,1003,Abhi filhaal kaunse products ki demand zyada chal rahi hai?,"Abhi thand ka time aa raha hai, toh immunity boost karne wale products zyada chal rahe hain. Vitamin C aur protein supplements kaafi log le rahe hain, shayad changing weather ki wajah se!",testing
medical_store_002,MS002,1004,Jab scheme milta hai toh sales badhti hai ya waise hi rehti hai?,"Kuch products pe scheme ka asar hota hai, jaise daily-use waale items par. Lekin premium products ke liye log discount ka wait nahi karte, agar zaroorat ho toh waise hi le lete hain.",testing
medical_store_002,MS002,1005,Kya customers Mars ke naye products try karne me interested hote hain?,"Kuch customers naye products lene me hesitate karte hain, jab tak kisi aur se feedback na mil jaye. Lekin agar brand trusted hai aur product kaafi unique hai toh log try karne me interested hote hain.",testing
general_store_003,GS003,1001,Kaun-kaun se Mars ke products aapke store pe available hain?,"Haan bhai, Mars ke chocolates aur snacks sab milenge. Snickers, M&M\u2019s, Galaxy, Twix sab rakha hai. Bounty bhi le aaya hoon, kyunki kuch customers baar-baar pooch rahe the!",testing
general_store_003,GS003,1002,"Aapke store pe kaunse products sabse zyada bikte hain, aur aap khud regularly kaunse products lete hain?","Snickers aur M&M\u2019s sabse zyada bikte hain. Log khaane ke liye ya energy ke liye lete hain. Main bhi kabhi-kabhi Snickers le leta hoon, mitha bhi hai aur pet bhi bhar jata hai!",testing
general_store_003,GS003,1003,Abhi filhaal kaunse products ki demand zyada chal rahi hai?,Abhi festivals chal rahe hain toh chocolates zyada bik rahi hain. Log gift dene ke liye bhi le rahe hain. M&M\u2019s aur Galaxy kaafi demand mein hai kyunki thoda premium lagta hai!,testing
general_store_003,GS003,1004,Jab scheme milta hai toh sales badhti hai ya waise hi rehti hai?,"Yeh depend karta hai discount kitna acha hai aur kitni der tak available hai. Chhoti chhoti schemes ka itna asar nahi hota, lekin agar bada offer ho, toh definitely sales par impact padta hai!",testing
general_store_003,GS003,1005,Kya customers Mars ke naye products try karne me interested hote hain?,"Yeh depend karta hai product kis category ka hai. Agar pet food ya healthcare product ho toh log pehle doosron ka review dekhte hain, lekin chocolates ya snacks wale naye products jaldi try kar lete hain!",testing
